Bisaya,Tagalog,English,Part of Speech,Pronunciation,Category,Beginner Example (Bisaya),Beginner English Translation,Beginner Tagalog Translation,Intermediate Example (Bisaya),Intermediate English Translation,Intermediate Tagalog Translation,Advanced Example (Bisaya),Advanced English Translation,Advanced Tagalog Translation
Kumusta,Kumusta,Hello / How are you,Greeting,koo-MOOS-tah,Greetings,Kumusta ka?,How are you?,Kumusta ka?,Kumusta ka karon?,How are you now?,Kumusta ka ngayon?,Kumusta na ka? Maayo ka?,How are you now? Are you well?,Kumusta ka na? Mabuti ka?
Maayong buntag,Magandang umaga,Good morning,Greeting,mah-AH-yong BOON-tag,Greetings,Maayong buntag.,Good morning.,Magandang umaga.,Maayong buntag sa tanan.,Good morning to everyone.,Magandang umaga sa lahat.,Maayong buntag! Kumusta imong pagkatulog?,Good morning! How did you sleep?,Magandang umaga! Kumusta ang tulog mo?
Maayong hapon,Magandang hapon,Good afternoon,Greeting,mah-AH-yong HAH-pon,Greetings,Maayong hapon.,Good afternoon.,Magandang hapon.,Maayong hapon sa imo.,Good afternoon to you.,Magandang hapon sa iyo.,Maayong hapon! Kumusta ang imong adlaw?,Good afternoon! How is your day?,Magandang hapon! Kumusta ang araw mo?
Maayong gabii,Magandang gabi,Good evening,Greeting,mah-AH-yong gah-BEE-ee,Greetings,Maayong gabii.,Good evening.,Magandang gabi.,Maayong gabii sa tanan.,Good evening to everyone.,Magandang gabi sa lahat.,Maayong gabii. Nakapahulay na ka?,Good evening. Have you rested?,Magandang gabi. Nakapagpahinga ka na ba?
Salamat,Salamat,Thank you,Expression,sah-LAH-maht,Common Phrases,Salamat.,Thank you.,Salamat.,Daghang salamat sa imong tabang.,Thank you very much for your help.,Maraming salamat sa iyong tulong.,Daghang salamat kaayo sa tanan nimo nga gibuhat.,Thank you very much for everything you did.,Maraming salamat sa lahat ng ginawa mo.
Palihug,Pakiusap,Please,Expression,pah-LEE-hoog,Common Phrases,Palihug tabangi ko.,Please help me.,Pakiusap tulungan mo ako.,"Palihug, hatagi ko ana.","Please, give that to me.","Pakiusap, ibigay mo iyon sa akin.",Palihug ko — kinahanglan ko gyud ang imong tabang karon.,"Please, I really need your help now.",Pakiusap — kailangan ko talaga ang tulong mo ngayon.
Pasaylo,Paumanhin,Sorry / Forgive me,Expression,pah-SAHY-loh,Common Phrases,Pasayloa ko.,Sorry.,Paumanhin.,Pasayloa ko sa akong sala.,Sorry for my mistake.,Paumanhin sa aking pagkakamali.,"Pasayloa ko, nasayop gyud ko ug buhat kaniadto.","Please forgive me, I really made a mistake earlier.","Patawarin mo ako, nagkamali talaga ako kanina."
Oo,Oo,Yes,Response,OH-oh,Common Phrases,Oo.,Yes.,Oo.,"Oo, gusto ko.","Yes, I want to.","Oo, gusto ko.",Oo — sigurado ko nga moapil ko.,Yes — I'm sure I will join.,Oo — sigurado akong sasali.
Dili,Hindi,No,Response,DEE-lee,Common Phrases,Dili.,No.,Hindi.,Dili ko gusto.,I don't want to.,Ayaw ko.,Dili ko moanha karon.,I will not go there now.,Hindi ako pupunta doon ngayon.
Wala,Wala,None / There isn't,Adjective,WAH-lah,Descriptions,Wala koy kwarta.,I have no money.,Wala akong pera.,Wala siya dinhi.,He/She is not here.,Wala siya dito.,Wala pa ko makakuha ug panahon para niini.,I haven't had time to do this yet.,Wala pa akong nagawa para dito.
Daghan,Marami,Many / A lot,Adjective,DAH-ghan,Descriptions,Daghan kaayo.,A lot.,Marami talaga.,Daghan ang tawo sa merkado.,There are many people at the market.,Maraming tao sa palengke.,Daghan kaayo ang nagtabang sa proyekto kagahapon.,Many people helped with the project yesterday.,Maraming tumulong sa proyekto kahapon.
Gamay,Kaunti,Small / Few,Adjective,gah-MAHY,Descriptions,Gamay ra.,Just a little.,Kaunti lang.,Gamay ang problema.,The problem is small.,Maliit ang problema.,Gamay ra akong oras karon para makatabang.,I only have a little time now to help.,Kaunti lang ang oras ko ngayon para tumulong.
Dako,Malaki,Big / Large,Adjective,DAH-koh,Descriptions,Dako kaayo.,Very big.,Napakalaki.,Dako ang balay.,The house is big.,Malaki ang bahay.,Dako ang responsibilidad nga akong gihuptan.,I hold a big responsibility.,Malaki ang responsibilidad na hawak ko.
Gwapa,Maganda,Beautiful (female),Adjective,GWAH-pah,Descriptions,Gwapa ka.,You are beautiful.,Maganda ka.,Gwapa kaayo siya.,She is very beautiful.,Napakaganda niya.,Gwapa kaayo ang babaye nga akong nakita kagahapon.,The woman I saw yesterday was very beautiful.,Napakaganda ng babaeng nakita ko kahapon.
Gwapo,Guwapo,Handsome (male),Adjective,GWAH-poh,Descriptions,Gwapo ka.,You are handsome.,Guwapo ka.,Gwapo kaayo siya.,He is very handsome.,Napakaguwapo niya.,Gwapo kaayo ang lalaki nga nagtabang namo kagahapon.,The man who helped us yesterday was very handsome.,Napakaguwapo ng lalaking tumulong sa amin kahapon.
Maayo,Mabuti,Good,Adjective,mah-AH-yoh,Descriptions,Maayo man ka.,You are fine/well.,Mabuti ka.,Maayo ang trabaho niya.,His/Her work is good.,Maganda ang gawa niya.,Maayo kaayo ang resulta sa among gibuhat kagahapon.,The result of what we did yesterday was very good.,Napakabuti ng resulta ng ginawa namin kahapon.
Dautan,Masama,Bad,Adjective,dah-OO-tan,Descriptions,Dautan na siya.,He/She is bad now.,Masama na siya.,Dautan ang iyang gibuhat.,His/Her action was bad.,Masama ang ginawa niya.,Dautan kaayo ang epekto sa maong bisyo.,The effect of that vice is very bad.,Napakasama ng epekto ng bisyong iyon.
Init,Mainit,Hot,Adjective,EE-neet,Weather,Init kaayo.,Very hot.,Napakainit.,Init ang tubig.,The water is hot.,Mainit ang tubig.,Init kaayo ang panahon kagahapon busa naglisod ta.,It was very hot yesterday so we had difficulty.,Sobrang init kahapon kaya nahirapan kami.
Bugnaw,Malamig,Cold,Adjective,boog-NAW,Weather,Bugnaw kaayo.,Very cold.,Napakalamig.,Bugnaw ang hangin karon.,The air is cold now.,Malamig ang hangin ngayon.,Bugnaw kaayo kagabii mao nga nipunit mi ug habol.,It was very cold last night so we wrapped ourselves with blankets.,Sobrang lamig kagabi kaya kumot kami.
Bag-o,Bago,New,Adjective,BAH-goh,Descriptions,Bag-o ang libro.,The book is new.,Bago ang libro.,Bag-o nga sapatos iyang gipalit.,He bought new shoes.,Bago siyang bumili ng sapatos.,Bag-o pa gyud ang akong gipalit nga telepono kagahapon.,The phone I bought yesterday is very new.,Napaka-bago ng teleponong binili ko kahapon.
Karaan,Luma,Old,Adjective,kah-RAH-an,Descriptions,Karaan ang libro.,The book is old.,Luma ang libro.,Karaan na kaayo ang among mesa.,Our table is already very old.,Luma na talaga ang mesa namin.,Karaan na ang balay nga gipuy-an sa akong lola sukad pa sauna.,The house my grandma lives in has been old since before.,Matagal nang luma ang bahay na tinitirhan ng lola ko.
Taas,Mataas,Tall/High,Adjective,TAH-as,Descriptions,Taas ang poste.,The post is tall.,Mataas ang poste.,Taas kaayo ang building.,The building is very tall.,Mataas ang gusali.,Taas kaayo ang bukid nga among giakyatan.,The mountain we climbed was very tall.,Napakakataas ng bundok na inakyat namin.
Mubo,Mababa,Short/Low,Adjective,MOO-boh,Descriptions,Mubo ang lamesa.,The table is short.,Mababa ang lamesa.,Mubo og buhok ang bata.,The child has short hair.,Maiksi ang buhok ng bata.,Mubo kaayo ang tulay nga among giagian sa baryo.,The bridge we crossed in the barrio was very low.,Masyadong mababa ang tulay na dinaanan namin.
Lapad,Malapad,Wide,Adjective,LAH-pad,Descriptions,Lapad ang dalan.,The road is wide.,Malapad ang kalsada.,Lapad ang papel nga gigamit nako.,The paper I used is wide.,Malapad ang papel na ginamit ko.,Lapad kaayo ang uma nga ilang gipanag-iya.,The farmland they own is very wide.,Napakaluapad ng bukirin na pag-aari nila.
Tibuok,Buong,Whole,Adjective,tee-BOO-ok,Descriptions,Tibuok ang itlog.,The egg is whole.,Buong itlog.,Gibasa nako ang tibuok libro.,I read the whole book.,Binasa ko ang buong libro.,Tibuok adlaw kong giatiman ang bata.,I took care of the child the whole day.,Buong araw kong inalagaan ang bata.
Bahin,Bahagi,Part,Adjective,BAH-hin,Descriptions,Bahin ra kini.,This is just a part.,Bahagi lang ito.,Bahin sa istorya akong nadungog.,I heard part of the story.,May narinig akong parte ng kwento.,Ang bahin nga akong gisulat mao ang katapusan.,The part I wrote is the ending.,Yung bahagi na sinulat ko ay ang ending.
Usa,Isa,One,Number,OO-sah,Numbers,Usa ka libro.,One book.,Isang libro.,Nipalit ko og usa ka sudlay.,I bought one comb.,Bumili ako ng isang suklay.,Usa ra ka higayon siya mianhi sa balay.,He came to the house only once.,Minsan lang siya pumunta sa bahay.
Duha,Dalawa,Two,Number,DOO-hah,Numbers,Duha ka baso.,Two glasses.,Dalawang baso.,Naa koy duha ka iro.,I have two dogs.,May dalawa akong aso.,Duha ka adlaw ko naghulat sa resulta.,I waited for the results for two days.,Dalawang araw akong naghintay ng resulta.
Tulo,Tatlo,Three,Number,TOO-loh,Numbers,Tulo ka mansanas.,Three apples.,Tatlong mansanas.,Tulo ka estudyante ang wala nisulod.,Three students were absent.,Tatlong estudyante ang absent.,Tulo ka semana nga walay klase.,There are no classes for three weeks.,Tatlong linggo walang pasok.
Upat,Apat,Four,Number,OO-pat,Numbers,Upat ka baso.,Four glasses.,Apat na baso.,Upat ka tawo ang miapil.,Four people joined.,Apat na tao ang sumali.,Upat ka tuig siya nagpuyo sa Davao.,He lived in Davao for four years.,Apat na taon siyang tumira sa Davao.
Lima,Lima,Five,Number,LEE-mah,Numbers,Lima ka saging.,Five bananas.,Limang saging.,Lima ka istudyante ang nidaug.,Five students won.,Limang estudyante ang nanalo.,Lima ka adlaw ko nag-andam sa presentasyon.,I prepared the presentation for five days.,Limang araw kong inihanda ang presentasyon.
Unom,Anim,Six,Number,OO-nom,Numbers,Unom ka lapis.,Six pencils.,Anim na lapis.,Unom ka adlaw sila nagpraktis.,They practiced for six days.,Anim na araw silang nagpraktis.,Unom ka bulan ko siya wala nakita.,I haven't seen him for six months.,Anim na buwan ko siyang hindi nakita.
Pito,Pito,Seven,Number,PEE-toh,Numbers,Pito ka bata.,Seven children.,Pitong bata.,Pito ka adlaw ang bakasyon.,Vacation is seven days.,Pitong araw ang bakasyon.,Pito ka tuig nga kasinatian ang iyang nadawat.,He gained seven years of experience.,Pitong taon ng karanasan ang nakuha niya.
Walo,Walo,Eight,Number,WAH-loh,Numbers,Walo ka itlog.,Eight eggs.,Walong itlog.,Walo ka tawo ang nagkuyog.,Eight people joined.,Walong tao ang sumama.,Walo ka bulan siya nagtrabaho sa opisina.,He worked in the office for eight months.,Walong buwan siyang nagtrabaho sa opisina.
